space;file;score_work;score_doc;score_overall;plus;minus;verdict;po_issue
SFACRM;Некредитное страхование ЮЛ. Требования.pdf;3;3;3;Есть привязка к EPIC/NEUROBUS-442 | Обозначена роль модуля как связки SFA↔страхование/Kafka;1 страница, ~130 слов — не требования, а черновик | Опечатки: «двигателем пунктом», «тарнслирует», «предавать» | Нет сценариев, AC, out-of-scope, НФТ, ошибок | Формулировки не позволяют стартовать разработку;Критический gap: страница «Требования» не является рабочим BRD/FR. Для команды непригодна.;high
SMP;Call Activity Процесс подписания документов d585acccc043.pdf;3;3;3;Есть карточка call activity;~100 слов, почти stub | Мало контракта вызова;Недостаточно для реализации.;high
SMP;Call Activity Процесс удаления документов 5b649ff00e0c.pdf;3;3;3;;Stub + дубль e4c7dd17fb0a;Заглушка.;high
SMP;Call Activity Процесс удаления документов e4c7dd17fb0a.pdf;3;3;3;;Stub/дубль;Заглушка.;high
ECOSYSTEM;Изменение страховой программы.pdf;4;4;4;Есть поля PUT /ins-programs/{id};Ошибка в описании maxDuration: написано «Минимальная сумма страхования» | Примеры запроса/ответа = заглушки «true» | Валидация одной фразой без кодов ошибок;Опасный дефект спецификации: неверное описание поля уйдёт в реализацию.;high
ECOSYSTEM;Цифровое страхование Keycloak.pdf;4;4;4;Тема безопасности обозначена;Мало содержания для security-решения;Недостаточно для передачи разработке auth-контура.;medium
SFACRM;Запись на грумминг SFA CRM.pdf;4;4;4;Есть инструкция как записаться на груминг;Таблица без явной строки/ссылки на доработку НС ЮЛ в читаемом виде | Организационная страница, не продуктовая аналитика;Процессный артефакт, не доказательство проработанности решения.;low
DOCFLOW;NEA Анкета на масштабирование.pdf;5;5;5;Заполнена анкета масштабирования;Формальный опросник, не продуктовая спецификация;Процессный артефакт инфраструктуры.;low
ECOSYSTEM;АБ.Страхование GET ins-programs getInsPrograms.pdf;5;5;5;Есть каркас API-описания;Текст совпадает с getInsContracts — признак копипаста без адаптации | Риск неверных контрактов для разработки;Копипаст соседнего метода снижает доверие к спецификации.;high
ECOSYSTEM;Получение справочника страховых программ.pdf;5;5;5;Тема справочника нужная;Тонкая проработка относительно модели данных;Базовый уровень.;low
SFACRM;Q3 2026 Чек-лист для доработки Создание Сделок и Интересов....pdf;5;6;5;Есть структура чек-листа ЕФ/SFA | Суть доработки изложена списком работ 1–5 | Ссылки на Vision/модули;Большинство пунктов incomplete | Поля PO/команда пустые | Статус «архитектура complete» при пустой странице архитектуры — inconsistency | Нет дат/владельцев по открытым блокам;Полезен как трекер готовности, но отражает незакрытый контур и формальные галочки.;medium
SMP;Call-activity Формирование и сохранение документа в AlfaCapture 5fb1669714b5.pdf;5;5;5;Тема AlfaCapture важна;Тонкая детализация;Средне-.;medium
SMP;Connector Передать управление. Подписание документов 8fa921613d50.pdf;5;5;5;Есть connector на подписание;Не хватает полного контракта переменных;Средне.;medium
ECOSYSTEM;АБ.Страхование GET ins-contracts getInscontracts.pdf;6;6;6;Стандартная структура API-страницы;Дублирование контента с getInsPrograms (копипаст риск) | Примеры/ошибки слабо раскрыты в экспорте;Средний уровень, требует сверки на копипаст.;medium
ECOSYSTEM;АБ.Страхование POST signcms-links postSignCmsLinks.pdf;6;6;6;Описан интеграционный метод подписания;Типовые пробелы: коды ошибок/ретраи/идемпотентность;Пригодно как черновик интеграции, не как полный контракт.;medium
ECOSYSTEM;АБ.Страхование POST signcreate-operation postSignCreateOperation.pdf;6;6;6;Есть назначение операции создания подписания;Не хватает полных error-кейсов и последовательности с callback;Средне: нужно добить end-to-end сценарий с callback.;medium
ECOSYSTEM;АБ.Страхование POST ump-applicationslist postUmpApplicationslist.pdf;6;6;6;Описан list-метод;Аналогичные редакционные/примерные пробелы семейства API;Ок для MVP-списка, без выдающейся проработки.;low
ECOSYSTEM;АБ.Страхование POST v1print-formstemplateId postPrintForms.pdf;6;6;6;Есть описание print-forms;Нужна явная связь templateId↔DOCUMENT_TEMPLATE;Средний уровень.;low
ECOSYSTEM;ЕФ.ЮЛ.Страхование GET v1ins-programs getInsurancePrograms.pdf;6;6;6;Отдельный контур ЕФ.ЮЛ;Риск расхождения с АБ.Страхование без матрицы соответствия;Нужна синхронизация контрактов АБ vs ЕФ.;medium
ECOSYSTEM;ЕФ.ЮЛ.Страхование POST signcallback getSignCallback.pdf;6;6;6;Callback вынесен отдельно — правильно;Имя файла getSignCallback при POST — путаница naming | Нужны статусы/повторы/подписи;Важный метод, naming и полнота требуют правки.;medium
ECOSYSTEM;ЕФ.ЮЛ.Страхование POST ump-applications postUmpApplications.pdf;6;6;6;Параллель с АБ-методом;Дублирование описаний без явной разницы каналов;"Средне; нужна матрица «кто кого вызывает».";medium
ECOSYSTEM;ЕФ.ЮЛ.Страхование POST ump-applicationslist postUmpApplicationslist.pdf;6;6;6;List-метод для ЕФ;Те же риски дублирования;Средне.;low
SMP;Service Task Обновление данных по продукту 4c1f6d8387a6.pdf;6;6;6;Есть task description;Дубль с 990727470585;Средне, устранить дубли page versions.;medium
SMP;Service Task Обновление данных по продукту 990727470585.pdf;6;6;6;Есть task description;Дубль;Средне.;medium
SMP;Service Task Получение данных по заявке 52673190544b.pdf;6;6;6;Есть описание task;Возможны пересечения/дубли pageId-версий;Средне+/хорошо, проверить актуальность vs соседних версий.;medium
SMP;Service Task Получение данных по заявке 6659e22fa05c.pdf;6;6;6;Структура service task;Третья вариация той же задачи — риск рассинхрона;Нужна одна актуальная версия.;medium
SMP;Service Task Удалить документы из АС 1.0 23bd996b63ce.pdf;6;6;6;Delete path описан;Коротко относительно рисков удаления;Средне+.;low
SMP;Канал заведения заявки 8249782cca8a.pdf;6;6;6;Каналы зафиксированы;Мало контекста product-specific правил НС;Средне.;low
ECOSYSTEM;АБ.Страхование POST ump-applications postUmpApplications.pdf;7;7;7;Назначение/метод/адрес | Разобраны поля тела, комментарии «всегда true/NIB» | Понятен маппинг к модели договора;«Нее обязательный» — качество редактуры | extAppId: «пока генерим рандомный GUID» без решения по трассировке SFA | Примеры запроса/ответа в PDF часто не раскрыты;Рабочая API-спека уровня MVP, но с временными костылями без плана закрытия.;medium
ECOSYSTEM;Модель данных Страхового договора.pdf;7;7;7;Таблица атрибутов с типом/обязательностью/описанием | Учтены MVP-продукты и каналы SFA/NIB | Есть ссылки на документы в AlfaCapture;Сленг («Айдишник»), опечатка AlfaCatpure | Часть правил генерации номера — «см. описание» без деталей | Enums/ограничения значений местами неполные;Один из сильных артефактов: можно опираться разработке БД/API.;low
SMP;DOCUMENT_TEMPLATE Справочник документов 01020bcb1362.pdf;7;7;7;Справочник шаблонов документов;Нужна трассировка к print-forms/AlfaCapture;Полезный справочник.;low
SMP;Service Task Подготовить данные для ПФ 2c7e115b68da.pdf;7;7;7;Предметная задача ПФ;Нужна явная связь с print-forms API;Хорошо.;low
SMP;Service Task Сохранить документы в ЭА d64780292399.pdf;7;7;7;Важный шаг EA;Проверить stopInIncident/ретраи единообразие с finalisation;Хорошо.;low
SMP;НТ пререквизиты - Worker ump-main-ma-ncins-pa.pdf;7;7;7;Отдельный контур multi-application;Нужна явная связь с single ump-main;Хорошо как НТ-вход.;low
SMP;НТ пререквизиты - Worker ump-prepare-documents-ncins-pa.pdf;7;7;7;Есть персонализация под worker;Короче finalisation, часть блоков шаблонные;Приемлемо.;low
SMP;НТ пререквизиты - Worker ump-signing-documents-ncins-pa.pdf;7;7;7;Есть описание под worker подписания;Неполная детализация относительно finalisation;Приемлемо.;low
SMP;Необходимость дедупликации заявок по каналам заведения и продуктам 503b13c001d5.pdf;7;7;7;Живая история изменений | Справочник канал×продукт×шаблон | Практическая ценность для платформы;"Похоже на общую платформенную страницу; вклад конкретно НС ЮЛ нужно явно выделить | Много версий — риск устаревания без владельца";Сильный справочник, но это скорее платформенный актив, не спецификация продукта.;low
SMP;Процессы-обработчики по продуктам 60189cad51f8.pdf;7;7;7;Карта process handlers;Проверить актуальность кодов НС;Полезно для навигации.;low
SIGNONLINE;БП.270 SFA ЮЛ. Страхование Подписание согласия на взимание страховой премии.pdf;8;8;8;Есть основной сценарий по шагам | Разделение ролей заказчик/аналитик SO | Учтены онлайн/оффлайн ветки | Указаны методы initSign и параметры AlfaCapture;Часть контактов «пока не определено» | Оффлайн вынесен out of scope без ссылки на целевой БП;Один из лучших документов пакета — можно обсуждать на груминге.;low
SMP;Service Task Получение данных по заявке 9afdb7ddb243.pdf;8;8;8;Есть main/alt сценарии 4xx/5xx | Ретраи на 5xx | Вход/выход переменных Camunda | Логирование;Маппинг вынесен ссылкой — в PDF не раскрыт полностью;Сильный task-level документ.;low
SMP;НТ пререквизиты - Worker ump-finalisation-ncins-pa.pdf;8;8;8;Алгоритм шагов finalisation расписан | ЧПН/вызовы оценены | Есть пример старта Camunda process | Указаны интеграции EA ×3;Часть прогнозов TBD | SLA «несколько сек (TBD)»;Хороший НТ-артефакт — образец, как должно быть.;low
